,Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of Search Path,Execution Time(in seconds)
0,1,UCS,N/A,18,8695,227.27485990524292
1,2,UCS,N/A,4,189,0.23875784873962402
2,3,UCS,N/A,5,21,0.017943143844604492
3,4,UCS,N/A,6,34,0.0335240364074707
4,5,UCS,N/A,4,225,0.15612316131591797
5,6,UCS,N/A,4,433,0.5225627422332764
6,7,UCS,N/A,0,63,0.09428095817565918
7,8,UCS,N/A,8,4707,389.5024251937866
8,9,UCS,N/A,0,743,3.232605218887329
9,10,UCS,N/A,6,108,0.14723610877990723
10,11,UCS,N/A,5,1400,3.4831480979919434
11,12,UCS,N/A,7,335,0.5703871250152588
12,13,UCS,N/A,7,193,0.34441399574279785
13,14,UCS,N/A,0,126,0.30599498748779297
14,15,UCS,N/A,7,268,0.5080499649047852
15,16,UCS,N/A,10,289,0.5227699279785156
16,17,UCS,N/A,3,167,0.16203069686889648
17,18,UCS,N/A,4,534,0.6917798519134521
18,19,UCS,N/A,10,3510,45.15814995765686
19,20,UCS,N/A,6,3497,23.04536485671997
20,21,UCS,N/A,13,7775,972.8809449672699
21,22,UCS,N/A,13,2541,13.35572624206543
22,23,UCS,N/A,6,1967,8.082504034042358
23,24,UCS,N/A,6,638,1.3242199420928955
24,25,UCS,N/A,5,885,1.5170261859893799
25,26,UCS,N/A,3,81,0.05119681358337402
26,27,UCS,N/A,4,161,0.2117319107055664
27,28,UCS,N/A,3,72,0.04718279838562012
28,29,UCS,N/A,6,913,2.5860910415649414
29,30,UCS,N/A,7,611,1.3319921493530273
30,31,UCS,N/A,5,538,1.2117011547088623
31,32,UCS,N/A,7,857,2.709299087524414
32,33,UCS,N/A,8,1135,4.270457983016968
33,34,UCS,N/A,8,723,2.1752638816833496
34,35,UCS,N/A,10,909,1.9100079536437988
35,36,UCS,N/A,8,1249,4.663211107254028
36,37,UCS,N/A,8,939,2.4215962886810303
37,38,UCS,N/A,9,974,2.6148059368133545
38,39,UCS,N/A,9,717,1.9426472187042236
39,40,UCS,N/A,10,1852,10.07968020439148
40,41,UCS,N/A,6,1058,2.774935007095337
41,42,UCS,N/A,6,1318,4.0748291015625
42,43,UCS,N/A,7,672,2.0500969886779785
43,44,UCS,N/A,15,1757,6.850244760513306
44,45,UCS,N/A,4,246,0.2357640266418457
45,46,UCS,N/A,12,694,1.6093218326568604
46,47,UCS,N/A,8,1181,4.339075088500977
47,48,UCS,N/A,6,73,0.07598090171813965
48,49,UCS,N/A,8,989,3.9245729446411133
49,50,UCS,N/A,10,2715,17.92344903945923
